language,fname,mname,lname,DOB,street,postal_code,city,state,country_code,drivers_license,ss,occupation,phone_home,phone_biz,phone_contact,phone_cell,status,contact_relationship,date,sex,email,email_direct,ethnoracial,race,ethnicity,religion,family_size,monthly_income,homeless,pid,county,sexual_orientation,gender_identity,street_line_2,preferred_name,nationality_country
Español,Abril,Ana,BIELMA,1953-02-12,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC318534177,66425487437,Operador de instalaciones de procesamiento de metales,+52(664)1747333,+52(664)1677436,+52(664)5019956,+52(664)9972052,UniÃ³n libre,,2002-03-12,Female,soledad95@yahoo.com,soledad95@yahoo.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Católica,Cinco,29637,Falso,10,Tijuana,"Something else, please describe",Identifies as Male,CAÑÓN DEL PADRE,Ana,México
Español,Jose,Jose,GASTELU,1982-06-30,PARÍS1650,22054,Tijuana,Baja California,MEX,BC056757158,85071379680,Productor y trabajador calificado de explotaciones agropecuarias mixtas,+52(664)8502034,+52(664)6401688,+52(664)7649823,+52(664)6607664,Separad@ legalmente,,2006-05-17,Rather not say,teodoro18@hotmail.com,teodoro18@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Sin adscripción religiosa (creyente),Cuatro,29637,Falso,11,Tijuana,"Lesbian, gay or homosexual",Identifies as Male,CAÑÓN ALTAMIRA GUERRERO,Jose,México
Español,Liam,Aldo,BAUTISTA,2003-06-16,PARÍS1650,22054,Tijuana,Baja California,MEX,BC276260260,80210391662,Gerente general,+52(664)4499214,+52(664)8634066,+52(664)1399536,+52(664)4352199,UniÃ³n libre,,2019-10-15,Male,ramonmarrero@yahoo.com,ramonmarrero@yahoo.com,Mestiza/o,Mestiza/o,Mestiza/o,Católica,Cuatro,29637,Verdadero,12,Tijuana,Bisexual,Identifies as Female,CAÑÓN ALTAMIRA GUERRERO,Liam,México
Español,Gabriel,Juan,GALMICHE,1980-06-22,PARÍS1650,22054,Tijuana,Baja California,MEX,BC862706535,65722098400,Agente de bolsa,+52(664)4749372,+52(664)8685958,+52(664)5558259,+52(664)4205808,Casad@,,2017-11-04,Male,bmatos@gmail.com,bmatos@gmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Sin religión,Cinco,29637,Verdadero,13,Tijuana,"Something else, please describe",Identifies as Female,CAÑÓN ALTAMIRA GUERRERO,Gabriel,México
Español,Mateo,Jonathan,TRIGO,1948-12-12,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC226854155,70863586536,Suboficial de las fuerzas armadas,+52(664)2470453,+52(664)6052290,+52(664)2237586,+52(664)2746141,Viud@,,2003-08-09,Rather not say,duranrodrigo@yahoo.com,duranrodrigo@yahoo.com,Indígena,Indígena,Indígena,Protestante/Cristiano evangélico,Cinco,29637,Falso,14,Tijuana,Bisexual,"Additional gender category or other, please specify",CAÑÓN DEL PADRE,Mateo,México
Español,Paola,Mia,SANTAMARIA,1987-06-21,PARÍS1650,22054,Tijuana,Baja California,MEX,BC505634058,41879111437,Pulidor de metales y afilador de herramientas,+52(664)1366035,+52(664)6012208,+52(664)4801335,+52(664)7978446,Solter@,,2017-10-15,Female,israel77@hotmail.com,israel77@hotmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Protestante/Cristiano evangélico,Tres,29637,Falso,15,Tijuana,Bisexual,"Additional gender category or other, please specify",CAÑÓN ALTAMIRA GUERRERO,Mia,México
Español,Marcela,Maria,DE LA,1968-07-17,PARÍS1650,22054,Tijuana,Baja California,MEX,BC153815957,41788683120,Instalador y reparador en tecnología de la información y las comunicaciones,+52(664)1025372,+52(664)3013659,+52(664)2016842,+52(664)3555050,Separad@,,2022-07-30,Rather not say,rosaliajaime@yahoo.com,rosaliajaime@yahoo.com,Mestiza/o,Mestiza/o,Mestiza/o,Protestante/Cristiano evangélico,Cuatro,29637,Falso,16,Tijuana,"Something else, please describe",Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN ALTAMIRA GUERRERO,Maria,México
Español,Jose,Santiago,HERMIDA,1993-10-09,PARÍS1650,22054,Tijuana,Baja California,MEX,BC061043231,08064183539,Operador de instalaciones de tratamiento de agua,+52(664)8187013,+52(664)6804260,+52(664)1500336,+52(664)4287494,Solter@,,2008-05-04,Rather not say,benito09@yahoo.com,benito09@yahoo.com,Indígena,Indígena,Indígena,Protestante/Cristiano evangélico,Cuatro,29637,Falso,17,Tijuana,"Something else, please describe",Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN ALTAMIRA GUERRERO,Santiago,México
Español,Dariana,Lesly,COMPARAN,1967-08-05,PARÍS1650,22054,Tijuana,Baja California,MEX,BC007989345,58369336522,Juez,+52(664)4810156,+52(664)1466675,+52(664)4015886,+52(664)5236865,Separad@,,2010-04-05,Rather not say,helenadavila@gmail.com,helenadavila@gmail.com,Indígena,Indígena,Indígena,Otras religiones,Cuatro,29637,Verdadero,18,Tijuana,Bisexual,"Genderqueer, neither exclusively male nor female",CAÑÓN ALTAMIRA GUERRERO,Dariana,México
Español,Jose,Manuel,CID,1991-02-14,PARÍS1650,22054,Tijuana,Baja California,MEX,BC823301057,01113065856,Trabajador de explotaciones de acuicultura,+52(664)9887569,+52(664)3879343,+52(664)2092230,+52(664)9678310,Divorciad@,,2014-09-02,Rather not say,ftafoya@gmail.com,ftafoya@gmail.com,Indígena,Indígena,Indígena,Sin religión,Tres,29637,Falso,19,Tijuana,Straight or heterosexual,Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN ALTAMIRA GUERRERO,Jose,México
Español,Sofia,Magdalena,COBA,1947-03-09,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC609089245,57471238188,Técnico agropecuario,+52(664)3774301,+52(664)1342273,+52(664)2743448,+52(664)6424551,Separad@,,2007-07-11,Female,miguel-angel64@gmail.com,miguel-angel64@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Católica,Cinco,29637,Falso,20,Tijuana,"Something else, please describe",Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN DEL PADRE,Sofia,México
Español,Renata,Guadalupe,HAY,1958-06-08,PARÍS1650,22054,Tijuana,Baja California,MEX,BC168536694,33234802446,Diseñador multimedia,+52(664)4911509,+52(664)1120461,+52(664)8322353,+52(664)9129509,Casad@,,2018-10-28,Female,altamiranoolga@hotmail.com,altamiranoolga@hotmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Católica,Cinco,29637,Falso,21,Tijuana,Bisexual,Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN ALTAMIRA GUERRERO,Renata,México
Español,Orlando,Manuel,MELGAR,1976-07-13,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC150688723,85290012831,Cristalero,+52(664)9783422,+52(664)3636487,+52(664)4698465,+52(664)4252145,Separad@,,2019-07-09,Male,nunezruben@hotmail.com,nunezruben@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Sin adscripción religiosa (creyente),Tres,29637,Verdadero,22,Tijuana,Bisexual,Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN DEL PADRE,Orlando,México
Español,Isabela,Sofia,CEDILLO,1978-12-28,PARÍS1650,22054,Tijuana,Baja California,MEX,BC662684008,35839636095,Químico,+52(664)9888852,+52(664)7256181,+52(664)4096662,+52(664)1698589,Casad@,,2000-03-16,Female,holguinguillermina@hotmail.com,holguinguillermina@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Otras religiones,Cinco,29637,Falso,23,Tijuana,Straight or heterosexual,Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN ALTAMIRA GUERRERO,Isabela,México
Español,Christopher,Marcelo,FERMAN,1970-11-20,PARÍS1650,22054,Tijuana,Baja California,MEX,BC337625318,47812092329,Educador para necesidades especiales,+52(664)3907575,+52(664)9733456,+52(664)4062212,+52(664)2157164,Casad@,,2015-02-18,Male,carloscalvillo@gmail.com,carloscalvillo@gmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Católica,Cinco,29637,Verdadero,24,Tijuana,Bisexual,Identifies as Female,CAÑÓN ALTAMIRA GUERRERO,Marcelo,México
Español,Jesus,Roberto,VICARIO,1960-12-11,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC365757852,01204787616,Gestor de aduana,+52(664)9653362,+52(664)5893206,+52(664)6216752,+52(664)1816498,Casad@,,2004-05-08,Rather not say,bbarela@yahoo.com,bbarela@yahoo.com,Indígena,Indígena,Indígena,Católica,Cuatro,29637,Verdadero,25,Tijuana,Straight or heterosexual,Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN DEL PADRE,Jesus,México
Español,Lia,Aranza,VAQUERIZO,1980-04-26,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC688358022,51312583738,Auxiliar de maestro,+52(664)8593205,+52(664)4325121,+52(664)9285638,+52(664)5717550,Divorciad@,,2014-01-13,Rather not say,znarvaez@hotmail.com,znarvaez@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Católica,Cuatro,29637,Verdadero,26,Tijuana,"Lesbian, gay or homosexual","Genderqueer, neither exclusively male nor female",CAÑÓN DEL PADRE,Lia,México
Español,Gael,Juan,ULATE,1972-09-06,PARÍS1650,22054,Tijuana,Baja California,MEX,BC679413144,51058397228,Empacador manual,+52(664)4230906,+52(664)7332555,+52(664)5496462,+52(664)1178444,Solter@,,2021-09-16,Male,elvira40@hotmail.com,elvira40@hotmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Sin religión,Cuatro,29637,Verdadero,27,Tijuana,"Lesbian, gay or homosexual",Identifies as Female,CAÑÓN ALTAMIRA GUERRERO,Juan,México
Español,Denisse,Karla,ATLATENCO,2004-10-29,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC576438798,29822598610,Mecánico y reparador de vehículos de motor,+52(664)9535054,+52(664)4308893,+52(664)1472742,+52(664)1500927,Separad@ legalmente,,2001-02-21,Rather not say,gvanegas@gmail.com,gvanegas@gmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Otras religiones,Tres,29637,Falso,28,Tijuana,"Lesbian, gay or homosexual",Identifies as Female,CAÑÓN DEL PADRE,Denisse,México
Español,Fernanda,Maria,ZABALETA,1973-12-16,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC700197095,11061219363,Miembro del poder legislativo,+52(664)2769248,+52(664)3088275,+52(664)8291951,+52(664)7680455,Solter@,,2023-05-24,Rather not say,riojasadela@hotmail.com,riojasadela@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Otras religiones,Cuatro,29637,Verdadero,29,Tijuana,"Something else, please describe","Additional gender category or other, please specify",CAÑÓN DEL PADRE,Maria,México
Español,Sarai,Raquel,CANDANOSA,1963-12-16,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC224163834,87910952362,Trabajador de cuidados personales en instituciones,+52(664)8726403,+52(664)2197350,+52(664)8903473,+52(664)6748303,Separad@ legalmente,,2021-12-12,Female,hermelindaiglesias@yahoo.com,hermelindaiglesias@yahoo.com,Caucásica/o,Caucásica/o,Caucásica/o,Sin religión,Cuatro,29637,Verdadero,30,Tijuana,"Something else, please describe",Identifies as Female,CAÑÓN DEL PADRE,Raquel,México
Español,Guadalupe,Ines,MICHIMANI,1969-02-10,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC821903477,43178100160,Policías,+52(664)8247553,+52(664)4916395,+52(664)6932805,+52(664)7535156,Viud@,,2012-03-28,Female,mercedes76@gmail.com,mercedes76@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Otras religiones,Cinco,29637,Verdadero,31,Tijuana,Bisexual,"Additional gender category or other, please specify",CAÑÓN DEL PADRE,Ines,México
Español,Arely,Sofia,PALA,1955-09-27,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC381252601,75052054915,Preparador y elaborador de tabaco y sus productos,+52(664)8126378,+52(664)1290456,+52(664)6913845,+52(664)7109669,Casad@,,2022-04-04,Female,miguel-angel84@yahoo.com,miguel-angel84@yahoo.com,Indígena,Indígena,Indígena,Católica,Cinco,29637,Verdadero,32,Tijuana,Bisexual,"Genderqueer, neither exclusively male nor female",CAÑÓN DEL PADRE,Arely,México
Español,Alexander,Javier,BENITES,1990-05-13,PARÍS1650,22054,Tijuana,Baja California,MEX,BC437085833,56338078019,Productor y trabajador calificado de explotaciones agropecuarias mixtas,+52(664)1233853,+52(664)5242468,+52(664)6130120,+52(664)4391409,Solter@,,2020-11-08,Male,lemusjuan-carlos@hotmail.com,lemusjuan-carlos@hotmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Protestante/Cristiano evangélico,Tres,29637,Falso,33,Tijuana,"Lesbian, gay or homosexual",Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN ALTAMIRA GUERRERO,Alexander,México
Español,Noah,Emir,RICARIO,2004-02-25,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC373000686,52171603013,"Pescador, cazador, tramperos y recolector de subsistencia",+52(664)4721973,+52(664)5987703,+52(664)9042040,+52(664)3216719,UniÃ³n libre,,2004-10-04,Male,sofia64@yahoo.com,sofia64@yahoo.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Otras religiones,Cuatro,29637,Verdadero,34,Tijuana,"Something else, please describe",Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN DEL PADRE,Noah,México
Español,Monserrat,Antonella,CUAXOSPA,1978-11-11,PARÍS1650,22054,Tijuana,Baja California,MEX,BC784565057,73255972959,Dibujante técnico,+52(664)9046268,+52(664)4972629,+52(664)5114992,+52(664)2891939,Viud@,,2000-05-07,Female,cristianraya@yahoo.com,cristianraya@yahoo.com,Indígena,Indígena,Indígena,Otras religiones,Tres,29637,Verdadero,35,Tijuana,"Something else, please describe",Identifies as Female,CAÑÓN ALTAMIRA GUERRERO,Antonella,México
Español,Fernanda,Maria,ITURBIDE,1990-07-30,PARÍS1650,22054,Tijuana,Baja California,MEX,BC413044772,43022234652,Ggeofísico,+52(664)7266782,+52(664)5477632,+52(664)1550418,+52(664)5213402,Casad@,,2015-02-10,Rather not say,negretepatricio@gmail.com,negretepatricio@gmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Protestante/Cristiano evangélico,Tres,29637,Verdadero,36,Tijuana,"Something else, please describe",Identifies as Male,CAÑÓN ALTAMIRA GUERRERO,Fernanda,México
Español,Rosa,Nicole,PIO,1956-04-04,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC069557966,87555561841,Mecánico y ajustador electricista,+52(664)8157071,+52(664)7530818,+52(664)4613101,+52(664)6098242,Casad@,,2022-07-07,Rather not say,alejandro75@yahoo.com,alejandro75@yahoo.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Sin religión,Tres,29637,Verdadero,37,Tijuana,Bisexual,"Genderqueer, neither exclusively male nor female",CAÑÓN DEL PADRE,Nicole,México
Español,Ian,Alexander,ZEQUEIDA,1979-01-24,PARÍS1650,22054,Tijuana,Baja California,MEX,BC358920296,07511453149,Camarero de mesa,+52(664)5818160,+52(664)3034632,+52(664)9049949,+52(664)1063201,Viud@,,2012-02-05,Male,galindoalfredo@hotmail.com,galindoalfredo@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Sin adscripción religiosa (creyente),Tres,29637,Verdadero,38,Tijuana,"Something else, please describe",Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN ALTAMIRA GUERRERO,Alexander,México
Español,Jose,William,ESPINOBARROS,1996-05-04,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC208034849,17065522371,Recolector de leña,+52(664)7753699,+52(664)1815392,+52(664)6745329,+52(664)3192612,Solter@,,2002-03-29,Male,susanaescalante@hotmail.com,susanaescalante@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Sin adscripción religiosa (creyente),Tres,29637,Falso,39,Tijuana,"Something else, please describe",Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN DEL PADRE,William,México
Español,Karla,Renata,GIL,1948-10-24,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC349105103,60209161953,Clasificador de desechos,+52(664)6836929,+52(664)8442860,+52(664)6603072,+52(664)4742328,Separad@ legalmente,,2009-03-12,Female,oliviabriseno@gmail.com,oliviabriseno@gmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Católica,Cuatro,29637,Verdadero,40,Tijuana,Bisexual,Identifies as Male,CAÑÓN DEL PADRE,Renata,México
Español,Marisol,Fernanda,ZUBILLAGA,1969-12-04,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC162210240,70142242083,Fabricante de instrumentos musicales,+52(664)7180065,+52(664)4636331,+52(664)3116545,+52(664)5983471,Divorciad@,,2017-08-27,Rather not say,mperales@yahoo.com,mperales@yahoo.com,Mestiza/o,Mestiza/o,Mestiza/o,Protestante/Cristiano evangélico,Cuatro,29637,Falso,41,Tijuana,Straight or heterosexual,Identifies as Female,CAÑÓN DEL PADRE,Fernanda,México
Español,Constanza,Lucero,MURUETA,1989-03-07,PARÍS1650,22054,Tijuana,Baja California,MEX,BC681700790,59113541490,Compositor,+52(664)1147294,+52(664)5830200,+52(664)8034417,+52(664)2744129,UniÃ³n libre,,2017-11-13,Female,ceciliavasquez@gmail.com,ceciliavasquez@gmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Sin adscripción religiosa (creyente),Cuatro,29637,Falso,42,Tijuana,"Lesbian, gay or homosexual",Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN ALTAMIRA GUERRERO,Constanza,México
Español,Lia,Araceli,BARRIONUEVO,1947-06-14,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC257045183,60387960838,Delineante,+52(664)6619297,+52(664)1506782,+52(664)9237995,+52(664)5690012,Casad@,,2012-05-02,Female,ana-mariasantiago@yahoo.com,ana-mariasantiago@yahoo.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Protestante/Cristiano evangélico,Cinco,29637,Verdadero,43,Tijuana,"Something else, please describe",Identifies as Female,CAÑÓN DEL PADRE,Araceli,México
Español,Lizeth,Fernanda,VIZUET,1986-01-14,PARÍS1650,22054,Tijuana,Baja California,MEX,BC304236362,90335068004,Preparador y elaborador de tabaco y sus productos,+52(664)7622080,+52(664)3245714,+52(664)5795269,+52(664)7643684,Separad@,,2009-07-21,Female,ramiropuente@yahoo.com,ramiropuente@yahoo.com,Indígena,Indígena,Indígena,Protestante/Cristiano evangélico,Cuatro,29637,Verdadero,44,Tijuana,Straight or heterosexual,Identifies as Male,CAÑÓN ALTAMIRA GUERRERO,Lizeth,México
Español,Jesus,Dylan,WITZ,1999-10-30,PARÍS1650,22054,Tijuana,Baja California,MEX,BC973714408,67849135875,Profesor de universidades y de la enseñanza superior,+52(664)3864167,+52(664)2872395,+52(664)7466183,+52(664)4573892,UniÃ³n libre,,2016-01-04,Male,olmosbarbara@yahoo.com,olmosbarbara@yahoo.com,Caucásica/o,Caucásica/o,Caucásica/o,Sin religión,Cuatro,29637,Falso,45,Tijuana,Straight or heterosexual,"Additional gender category or other, please specify",CAÑÓN ALTAMIRA GUERRERO,Dylan,México
Español,Fernanda,Camila,COLINDRES,1955-05-02,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC744843282,94844738073,Agente de administración tributaria,+52(664)9509122,+52(664)1291965,+52(664)4127480,+52(664)1159646,Separad@,,2005-09-19,Rather not say,rrael@hotmail.com,rrael@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Sin adscripción religiosa (creyente),Cinco,29637,Verdadero,46,Tijuana,"Something else, please describe","Additional gender category or other, please specify",CAÑÓN DEL PADRE,Fernanda,México
Español,Martina,Dariana,ZERMENO,1978-01-24,PARÍS1650,22054,Tijuana,Baja California,MEX,BC601664933,39441265350,Especialista en políticas de administración,+52(664)5543752,+52(664)9105970,+52(664)6020412,+52(664)2466845,Casad@,,2022-01-30,Female,nevarezgerardo@hotmail.com,nevarezgerardo@hotmail.com,Indígena,Indígena,Indígena,Otras religiones,Cuatro,29637,Falso,47,Tijuana,Bisexual,Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN ALTAMIRA GUERRERO,Dariana,México
Español,Nicol,Isabella,HAW,1977-04-16,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC525138070,15691149924,Tronzador,+52(664)7747908,+52(664)5303658,+52(664)4250340,+52(664)9838415,Solter@,,2017-09-22,Rather not say,mateocollazo@hotmail.com,mateocollazo@hotmail.com,Indígena,Indígena,Indígena,Sin religión,Cinco,29637,Verdadero,48,Tijuana,"Something else, please describe",Identifies as Male,CAÑÓN DEL PADRE,Isabella,México
Español,Maria,Josefina,MURGUIA,1966-09-05,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC451450987,03275214280,Astrólogo,+52(664)2334190,+52(664)3724194,+52(664)1877014,+52(664)2238857,UniÃ³n libre,,2003-01-06,Rather not say,britodolores@hotmail.com,britodolores@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Protestante/Cristiano evangélico,Tres,29637,Verdadero,49,Tijuana,Straight or heterosexual,Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN DEL PADRE,Maria,México
Español,Elizabeth,Sofia,TRIAY,1990-03-15,PARÍS1650,22054,Tijuana,Baja California,MEX,BC062047636,12211489492,Empleado de archivos,+52(664)8763460,+52(664)8893687,+52(664)7197739,+52(664)4377611,Divorciad@,,2019-01-28,Female,felixveliz@gmail.com,felixveliz@gmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Católica,Cuatro,29637,Verdadero,50,Tijuana,"Lesbian, gay or homosexual","Additional gender category or other, please specify",CAÑÓN ALTAMIRA GUERRERO,Sofia,México
